FORD
tid attemp_tp tp 50lat 99lat
31 160708 104561 58.52 457.863
77 10570.4 6883.86 58.36 458.697
27 159590 103922 58.49 457.719
25 159513 103866 58.696 457.239
120 10566.1 6884.88 58.565 457.757
18 159751 104166 58.595 460.035
82 10562.3 6888.86 58.635 458.869
96 10562.6 6880.02 58.548 457.004
16 158800 103414 58.58 457.963
24 158864 103465 58.641 456.115
114 10561.1 6883.58 58.661 456.861
22 158293 103049 58.528 458.951
98 10559.1 6869.9 58.578 459.265
112 10557.8 6864.47 58.577 458.398
20 157978 102814 58.653 458.387
26 157762 102625 58.615 458.693
36 157720 102795 58.557 459.453
30 157710 102742 58.662 459.963
100 10555.1 6876.21 58.618 456.969
92 10555 6867.69 58.527 461.82
14 157345 102521 58.6 457.544
48 156907 102214 58.681 458.795
10 156896 102247 58.656 457.926
102 10553.5 6866.31 58.663 459.544
124 10553.3 6866.03 58.719 454.697
90 10552 6871.91 58.737 455.434
104 10552.5 6870.82 58.634 459.309
80 10551.3 6880.03 58.627 459.408
40 156424 101859 58.623 457.822
54 156747 102054 58.657 457.664
32 156745 102057 58.608 459.164
46 156698 102046 58.677 458.006
106 10551.9 6869.21 58.633 457.897
110 10551.7 6873.81 58.601 458.647
61 156190 101757 58.122 463.964
42 156305 101757 58.635 460.149
108 10550.4 6868.07 58.678 458.378
126 10551.4 6866.93 58.653 459.037
72 10550.6 6867.42 58.614 460.16
12 156528 101922 58.66 456.777
78 10550.1 6878.68 58.64 457.06
122 10551.1 6864.05 58.65 455.848
65 10548.8 6869.56 58.055 462.023
71 10548.7 6865.04 58.114 465.638
57 155960 101502 58.144 464.222
34 156364 101856 58.631 458.825
94 10549.1 6861.84 58.702 458.568
28 156133 101708 58.73 457.22
84 10549.7 6863.24 58.662 459.467
118 10549.5 6866.49 58.733 459.49
74 10548.9 6867.55 58.615 461.282
50 156061 101561 58.609 458.575
52 155824 101453 58.593 458.044
69 10546.2 6867.72 58.121 461.628
38 155687 101389 58.624 458.741
67 10545.7 6873.72 58.136 466.408
86 10545.8 6863.5 58.743 459.626
116 10547.2 6871.51 58.682 459.481
76 10546 6867.72 58.643 463.142
88 10545.3 6864.01 58.739 459.039
44 155557 101390 58.725 458.115
63 155002 100987 58.34 462.474
64 10543.2 6871.3 58.264 464.684
59 154596 100538 58.159 465.796
58 154455 100548 58.234 466.886
70 10541.2 6861.39 58.384 463.24
66 10540.3 6864.8 58.319 465.831
56 154114 100316 58.36 468.502
9 154034 100300 58.333 458.871
60 153197 99871 58.254 472
62 153069 99757.1 58.262 470.9
68 10535 6870.67 58.228 471.53
8 121525 79214.9 58.58 470.86
1 118527 76980.3 54.87 616.728
7 116770 76095.4 56.775 523.972
3 113018 73579.8 55.512 567.957
5 109981 71766.3 56.015 550.801
0 89996.3 58327.6 46.301 896.846
2 86322.9 56046.3 42.02 837.438
6 86256.9 56250.3 55.331 582.923
4 83798.4 54740.2 50.714 682.501
1.04074e+07 6.7771e+06 42.02 58.743 58.0776 451.962 896.846 471.022

FORD
tid attemp_tp tp 50lat 99lat
3 365604 254993 16.127 108.68
2 356396 248104 16.647 111.561
1 344302 239760 17.027 111.859
0 209951 144600 15.455 435.502
1.27625e+06 887458 15.455 17.027 16.314 108.68 435.502 191.901

FORD
tid attemp_tp tp 50lat 99lat
7 229040 156992 26.675 207.14
4 227759 156133 26.868 208.529
3 227972 156347 26.69 209.197
5 228133 156464 26.725 207.313
6 227059 155621 26.985 209.334
1 217696 149225 27.54 211.108
2 205538 140817 27.206 241.815
0 155670 105052 15.12 657.05
1.71887e+06 1.17665e+06 15.12 27.54 25.4761 207.14 657.05 268.936

FORD
tid attemp_tp tp 50lat 99lat
15 189401 128833 56.846 403.236
9 189405 128995 56.866 401.957
7 189381 128983 56.863 403.552
12 189216 128849 56.989 401.866
5 189401 129019 56.834 402.845
13 189191 128819 56.77 405.102
6 188667 128461 57.138 404.247
10 188555 128499 57.14 405.293
11 188631 128341 57.068 402.887
8 188506 128519 57.09 404.162
14 188493 128410 57.081 405.996
3 187422 127640 57.11 404.978
1 185682 126376 57.447 418.422
4 154871 105447 58.191 487.527
